feature,importance
load_lag_1h,5175783.520456314
rolling_3h_mean,1083465.0013475418
rolling_6h_mean,557973.9132413864
rolling_24h_mean,418492.88073158264
rolling_3h_max,366497.501332283
load_lag_24h,175820.45328521729
rolling_24h_min,143198.99691963196
hour,82401.79203677177
load_lag_2h,80255.17292642593
days_to_holiday,60325.206936359406
rolling_3h_min,55314.74238729477
hour_cos,51425.57534980774
load_lag_168h,46102.658635139465
hour_sin,45251.61817550659
load_lag_3h,42775.10793685913
rolling_3h_std,42575.43478393555
load_lag_48h,39762.031370162964
rolling_12h_mean,35202.289996147156
rolling_24h_std,29543.486179351807
day_of_year,28386.936093568802
rolling_6h_min,26619.512427330017
temp_x_hour,24683.70357131958
load_lag_6h,22227.853055477142
discomfort_index,20495.314742088318
load_lag_12h,19642.798988342285
humidity_x_temp,17808.623849868774
rolling_12h_min,17537.844712257385
rolling_6h_std,16363.009062290192
rolling_6h_max,15515.372563004494
rolling_12h_max,14918.689732074738
is_business_hour,14618.84910774231
rolling_12h_std,14463.09081363678
rolling_24h_max,14327.722776174545
wind_speed_lag_6h,14010.769279003143
rolling_168h_std,13518.692309856415
cloud_cover_lag_3h,13368.305678367615
rolling_168h_min,13041.972888946533
rolling_168h_mean,12931.310072898865
day_of_month,12811.07087135315
wind_speed,12565.660393983126
humidity,12171.412180900574
rolling_168h_max,11977.536740064621
wind_speed_lag_1h,11609.62183046341
wind_direction_lag_6h,11580.284217357635
pressure_lag_6h,10833.799267292023
temp_range_24h,10439.108897209167
wind_speed_lag_3h,10239.736455440521
humidity_lag_6h,9909.799227714539
humidity_lag_3h,9892.929984092712
wind_direction_lag_1h,9547.497347593307
pressure,9298.224324285984
wind_direction,9243.059051513672
wind_direction_lag_3h,9072.827112197876
humidity_lag_1h,9067.915702819824
pressure_lag_1h,6803.259386062622
pressure_lag_3h,6127.287958145142
temperature_lag_3h,3567.546148300171
temperature_lag_6h,3175.057918548584
